epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,10690.9,0.79239,0.74593,1.26192,0.95901,0.83591,0.90007,0.64866,0.98787,0.87234,1.6581,0.0010892,0.0010892,0.0010892
71,10837.3,0.77986,0.72867,1.24439,0.9517,0.82143,0.86942,0.5887,1.11576,0.95744,1.83409,0.001076,0.001076,0.001076
72,10993.7,0.77676,0.67409,1.23042,0.99249,0.89286,0.95978,0.67799,0.92122,0.77195,1.68993,0.0010628,0.0010628,0.0010628
73,11148.3,0.77599,0.68496,1.26269,0.926,0.92857,0.97079,0.71954,0.89616,0.74818,1.63706,0.0010496,0.0010496,0.0010496
74,11302.6,0.72417,0.68366,1.21362,0.96401,0.9568,0.98404,0.67855,1.02473,0.71334,1.8208,0.0010364,0.0010364,0.0010364
75,11452.2,0.74691,0.68115,1.24851,0.99656,1,0.995,0.69332,0.94153,0.64524,1.65352,0.0010232,0.0010232,0.0010232
76,11601.8,0.77859,0.71105,1.24186,0.9639,0.95374,0.95857,0.71495,0.87234,0.56296,1.56603,0.00101,0.00101,0.00101
77,11751.7,0.84645,0.66574,1.31641,0.95365,0.96429,0.9625,0.74672,0.89262,0.58838,1.59513,0.0009968,0.0009968,0.0009968
78,11896.9,0.72302,0.64563,1.2168,0.90724,0.96429,0.98675,0.71528,1.06832,0.72041,1.87212,0.0009836,0.0009836,0.0009836
79,12046.1,0.69064,0.64384,1.22392,0.97841,0.96429,0.9921,0.68498,1.09687,0.74205,1.86962,0.0009704,0.0009704,0.0009704
80,12203.9,0.74835,0.64258,1.24821,0.99047,1,0.995,0.75715,0.94337,0.64087,1.60468,0.0009572,0.0009572,0.0009572
81,12371.4,0.7983,0.69255,1.28685,0.99513,1,0.995,0.77673,0.84748,0.59776,1.48925,0.000944,0.000944,0.000944
82,12524.8,0.77886,0.69266,1.2699,0.96971,0.96429,0.965,0.7882,0.8554,0.56405,1.5416,0.0009308,0.0009308,0.0009308
83,12682.2,0.75335,0.66864,1.25514,0.96377,0.95039,0.9625,0.7527,0.83611,0.61483,1.54074,0.0009176,0.0009176,0.0009176
84,12844.8,0.71042,0.63625,1.21628,0.96416,0.96095,0.9625,0.72256,0.87041,0.64854,1.54389,0.0009044,0.0009044,0.0009044
85,12994.6,0.7482,0.7211,1.25379,0.99949,1,0.995,0.77608,0.83508,0.60938,1.50464,0.0008912,0.0008912,0.0008912
86,13139.9,0.69951,0.63691,1.18751,1,0.92687,0.9877,0.76173,0.84262,0.66318,1.52854,0.000878,0.000878,0.000878
87,13294.1,0.69449,0.63776,1.21024,0.99692,0.96429,0.9921,0.76613,0.82186,0.65335,1.51071,0.0008648,0.0008648,0.0008648
88,13435.3,0.77284,0.62766,1.22186,0.99354,0.96429,0.993,0.75358,0.91144,0.64347,1.59888,0.0008516,0.0008516,0.0008516
89,13572.3,0.7369,0.64755,1.24778,0.98903,0.96429,0.9921,0.72842,0.88619,0.72651,1.56289,0.0008384,0.0008384,0.0008384
