epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,80062.9,0.69238,1.55589,0.38467,0.6019,1.28207,0.93987,0.93243,0.98375,0.76821,0.87808,0.89189,0.86947,0.53072,0.84193,1.61782,0.42163,0.5576,1.52329,0.0015644,0.0015644,0.0015644
46,81744.2,0.70687,1.43359,0.37884,0.60612,1.30085,0.95091,0.97297,0.98754,0.75204,0.91674,0.93243,0.90846,0.49998,0.89654,1.76998,0.48256,0.55664,1.59768,0.0015545,0.0015545,0.0015545
47,83429,0.70171,1.42416,0.37622,0.5974,1.28736,0.96848,0.97297,0.99126,0.77187,0.88006,0.89241,0.83442,0.50873,0.87217,1.7178,0.42768,0.51302,1.55854,0.0015446,0.0015446,0.0015446
48,85106.1,0.67357,1.43069,0.3853,0.5652,1.27298,0.96656,0.97647,0.99286,0.7989,0.88557,0.89865,0.85163,0.49328,0.80046,1.7827,0.39867,0.48049,1.48585,0.0015347,0.0015347,0.0015347
49,86810.9,0.6954,1.34123,0.38723,0.57526,1.28909,0.86059,0.93243,0.95836,0.74577,0.81453,0.86057,0.81871,0.47852,0.83741,1.82226,0.45924,0.66401,1.51713,0.0015248,0.0015248,0.0015248
50,88487.6,0.66807,1.43918,0.37141,0.57447,1.28212,0.91399,0.97973,0.98325,0.75415,0.85554,0.89865,0.83472,0.48659,0.8833,1.79049,0.42813,0.54501,1.60831,0.0015149,0.0015149,0.0015149
51,90196.3,0.65063,1.49263,0.38427,0.54843,1.24586,0.96358,0.98649,0.99149,0.80095,0.91056,0.93243,0.87898,0.51586,0.78426,1.63221,0.32884,0.47685,1.43387,0.001505,0.001505,0.001505
52,91898.4,0.67078,1.46401,0.37754,0.56152,1.26403,0.98647,0.98498,0.99327,0.79601,0.9189,0.91872,0.86614,0.49577,0.77642,1.71562,0.51294,0.46191,1.45574,0.0014951,0.0014951,0.0014951
53,93923.8,0.64621,1.36069,0.36898,0.56973,1.25179,0.97999,0.9927,0.99147,0.80794,0.91998,0.93221,0.8805,0.52455,0.7658,1.60352,0.38752,0.44392,1.45461,0.0014852,0.0014852,0.0014852
54,96149.9,0.63572,1.41811,0.38289,0.5558,1.24516,0.98711,0.97973,0.9944,0.80166,0.93234,0.92568,0.90554,0.57176,0.80651,1.46138,0.32273,0.45389,1.46832,0.0014753,0.0014753,0.0014753
55,98452,0.64712,1.43897,0.37518,0.54804,1.2488,0.98087,0.98649,0.99313,0.8005,0.92638,0.91892,0.89025,0.5656,0.77112,1.54106,0.43629,0.48792,1.44967,0.0014654,0.0014654,0.0014654
56,100707,0.61695,1.40835,0.38272,0.51667,1.23375,0.95259,1,0.99292,0.82537,0.90636,0.91558,0.8984,0.54846,0.75001,1.56783,0.58066,0.48348,1.41739,0.0014555,0.0014555,0.0014555
57,102928,0.62658,1.34988,0.36926,0.53122,1.23751,0.97854,0.98649,0.9936,0.79594,0.94488,0.9527,0.91967,0.54943,0.80367,1.51655,0.47354,0.46008,1.44688,0.0014456,0.0014456,0.0014456
58,105133,0.62148,1.29969,0.36068,0.53119,1.23442,0.94053,0.98649,0.98675,0.81375,0.90148,0.92744,0.88621,0.52936,0.76072,1.55649,0.33911,0.44781,1.47189,0.0014357,0.0014357,0.0014357
59,107425,0.65376,1.36502,0.36854,0.55132,1.25645,0.96662,0.97827,0.99023,0.81921,0.9184,0.93243,0.90882,0.56343,0.75447,1.52013,0.40555,0.4903,1.41544,0.0014258,0.0014258,0.0014258
60,109725,0.65248,1.30243,0.369,0.55403,1.25662,0.98616,0.96261,0.9899,0.79223,0.92381,0.90124,0.88753,0.51484,0.83637,1.78537,0.51862,0.48529,1.51266,0.0014159,0.0014159,0.0014159
61,112017,0.64485,1.33801,0.37975,0.53029,1.23452,0.97967,0.97689,0.98993,0.81326,0.92417,0.92568,0.8825,0.52678,0.74741,1.55532,0.33987,0.43376,1.41973,0.001406,0.001406,0.001406
62,114306,0.6585,1.3503,0.37524,0.5367,1.26144,0.97231,0.98649,0.98736,0.79719,0.91232,0.92568,0.87028,0.49518,0.79551,1.66737,0.58678,0.48604,1.4667,0.0013961,0.0013961,0.0013961
63,116155,0.62782,1.33644,0.37984,0.51383,1.23779,0.99079,0.99324,0.99466,0.80206,0.91638,0.91892,0.87771,0.51416,0.77505,1.69077,0.43633,0.45214,1.45891,0.0013862,0.0013862,0.0013862
64,117857,0.64743,1.32284,0.36449,0.53493,1.25769,0.97971,0.97895,0.99181,0.80515,0.90408,0.90541,0.8547,0.52698,0.779,1.64422,0.45301,0.45857,1.45882,0.0013763,0.0013763,0.0013763
65,119550,0.64189,1.32825,0.36533,0.53806,1.25012,0.98348,0.99324,0.99369,0.8094,0.9029,0.91216,0.85221,0.54296,0.75888,1.51975,0.34534,0.43409,1.44795,0.0013664,0.0013664,0.0013664
66,121208,0.61616,1.18198,0.36383,0.5259,1.23403,0.97886,0.99324,0.99383,0.81149,0.91893,0.93243,0.8868,0.54112,0.74441,1.53058,0.34964,0.43871,1.40635,0.0013565,0.0013565,0.0013565
67,122874,0.63329,1.28585,0.37039,0.5292,1.24047,0.97244,0.98649,0.98939,0.78616,0.92564,0.92525,0.88034,0.53982,0.8351,1.52798,0.55465,0.45424,1.4988,0.0013466,0.0013466,0.0013466
68,124544,0.62329,1.34282,0.37103,0.52615,1.22986,0.97205,0.98649,0.99006,0.80656,0.92533,0.93919,0.90356,0.54838,0.76297,1.49172,0.362,0.42204,1.43113,0.0013367,0.0013367,0.0013367
69,126205,0.62897,1.33333,0.36222,0.51354,1.23443,0.97707,0.97297,0.99275,0.81122,0.91862,0.91529,0.88101,0.54158,0.77978,1.482,0.38165,0.44654,1.45615,0.0013268,0.0013268,0.0013268
70,127874,0.60232,1.15977,0.35497,0.51045,1.23062,0.96705,0.99149,0.99367,0.81441,0.90776,0.93089,0.89533,0.52073,0.76352,1.5465,0.45537,0.42793,1.42552,0.0013169,0.0013169,0.0013169
71,129567,0.59621,1.29337,0.35744,0.50806,1.20948,0.97328,0.98429,0.99257,0.80676,0.90698,0.9224,0.87969,0.52613,0.78612,1.53963,0.34388,0.47154,1.49495,0.001307,0.001307,0.001307
72,131246,0.63195,1.26973,0.36639,0.54113,1.24756,0.97331,0.98649,0.98712,0.80342,0.93318,0.94595,0.90257,0.55484,0.78596,1.51333,0.46877,0.44799,1.47485,0.0012971,0.0012971,0.0012971
73,132928,0.60399,1.26527,0.36414,0.51026,1.21134,0.98649,0.98639,0.9942,0.79837,0.9253,0.93243,0.89405,0.51123,0.7509,1.64375,0.42231,0.42161,1.40242,0.0012872,0.0012872,0.0012872
74,134584,0.62149,1.24033,0.35256,0.52044,1.23719,0.97984,0.9852,0.99173,0.81005,0.93959,0.94575,0.9188,0.53411,0.73671,1.50956,0.39113,0.43088,1.40497,0.0012773,0.0012773,0.0012773
75,136234,0.6245,1.23908,0.35596,0.50547,1.22819,0.95802,0.98649,0.98859,0.81729,0.90537,0.93243,0.88535,0.5536,0.75504,1.47052,0.33772,0.45351,1.40167,0.0012674,0.0012674,0.0012674
76,137881,0.60636,1.33804,0.35823,0.51244,1.21145,0.981,0.97973,0.99349,0.81517,0.93926,0.94031,0.91434,0.56092,0.74136,1.49458,0.47005,0.42789,1.40159,0.0012575,0.0012575,0.0012575
77,139554,0.59245,1.20756,0.349,0.49423,1.21102,0.95952,0.99324,0.99205,0.798,0.93003,0.92568,0.88936,0.53977,0.7742,1.59302,0.38048,0.4433,1.45825,0.0012476,0.0012476,0.0012476
78,141218,0.60501,1.27365,0.35114,0.49126,1.2138,0.97271,0.97973,0.98284,0.81637,0.92083,0.93243,0.88755,0.54432,0.73845,1.5077,0.34909,0.4271,1.40392,0.0012377,0.0012377,0.0012377
79,142894,0.60503,1.20466,0.35041,0.49556,1.20088,0.9758,0.99324,0.99425,0.82785,0.89529,0.91216,0.84475,0.52875,0.73903,1.54441,0.36693,0.41371,1.42357,0.0012278,0.0012278,0.0012278
80,144558,0.60053,1.18822,0.34445,0.48787,1.22097,0.97331,0.98545,0.98666,0.82319,0.9066,0.91815,0.87469,0.51312,0.73505,1.59033,0.38028,0.41668,1.38271,0.0012179,0.0012179,0.0012179
81,146214,0.60387,1.29071,0.35616,0.49406,1.2092,0.99913,0.99324,0.995,0.83411,0.93773,0.93243,0.90987,0.56128,0.70775,1.45582,0.39974,0.40648,1.37089,0.001208,0.001208,0.001208
82,147898,0.61242,1.18201,0.35398,0.47888,1.22155,0.98212,0.97973,0.99153,0.82021,0.94294,0.93919,0.92592,0.53747,0.73156,1.55709,0.54271,0.43381,1.39729,0.0011981,0.0011981,0.0011981
83,149549,0.59288,1.24906,0.35652,0.50032,1.20352,0.99031,0.98649,0.99088,0.82336,0.92917,0.92568,0.87945,0.55776,0.73233,1.48337,0.3442,0.40879,1.39174,0.0011882,0.0011882,0.0011882
84,151209,0.59291,1.16035,0.3582,0.49673,1.20146,0.97217,0.98649,0.98882,0.83378,0.89469,0.91846,0.85587,0.55304,0.74598,1.47909,0.4349,0.40869,1.40238,0.0011783,0.0011783,0.0011783
85,152865,0.61514,1.19003,0.35092,0.49187,1.22587,0.97997,0.99195,0.99351,0.82037,0.93993,0.95144,0.91676,0.56228,0.73123,1.46282,0.32794,0.42512,1.36845,0.0011684,0.0011684,0.0011684
86,154517,0.57887,1.19057,0.36079,0.46244,1.21257,0.98372,0.99324,0.99432,0.82295,0.89639,0.90541,0.83612,0.51152,0.72714,1.5493,0.46854,0.41937,1.38714,0.0011585,0.0011585,0.0011585
87,156645,0.60318,1.26305,0.35055,0.48162,1.20949,0.9597,0.97973,0.97596,0.82085,0.90001,0.91892,0.85316,0.54874,0.73396,1.48012,0.35135,0.42253,1.39378,0.0011486,0.0011486,0.0011486
88,158891,0.58645,1.12525,0.35256,0.48975,1.19868,0.97245,0.97973,0.99029,0.80356,0.91183,0.91892,0.87272,0.5514,0.78472,1.5134,0.38537,0.43111,1.46162,0.0011387,0.0011387,0.0011387
89,161148,0.57316,1.16642,0.33943,0.48249,1.2033,0.97242,1,0.99412,0.82571,0.92511,0.93243,0.88492,0.54111,0.75831,1.51396,0.34535,0.41958,1.41602,0.0011288,0.0011288,0.0011288
90,163407,0.58334,1.20426,0.35287,0.4958,1.2151,0.97984,0.98535,0.99113,0.82459,0.91938,0.92467,0.88141,0.55729,0.74204,1.49195,0.36368,0.44334,1.40411,0.0011189,0.0011189,0.0011189
91,165630,0.56231,1.16292,0.35168,0.47588,1.18848,0.97309,0.9775,0.98133,0.81902,0.92603,0.9305,0.89055,0.58674,0.75158,1.39507,0.3739,0.41138,1.40159,0.001109,0.001109,0.001109
92,167332,0.56546,1.14467,0.3509,0.47521,1.17793,0.97984,0.98514,0.99247,0.82924,0.92608,0.93122,0.88727,0.56582,0.72912,1.3597,0.33054,0.38648,1.3721,0.0010991,0.0010991,0.0010991
